year,month,edition,fame_t,hvo_t,btl_other_t,biodiesel_family_t,bioethanol_direct_t,ethanol_in_etbe_t,biokerosin_t
2025,1,2025_01,172480,8709,227,181416,86022,8204,
2025,2,2025_02,198902,15825,141,214868,116865,5605,
2025,3,2025_03,185345,24315,180,209840,93510,7641,
2025,4,2025_04,182929,9515,259,192703,86303,6479,
2025,5,2025_05,183155,6486,450,190091,98993,5586,
2025,6,2025_06,180222,13680,359,194261,95391,6069,
2025,7,2025_07,183771,9711,367,193849,101681,6946,
2025,8,2025_08,169781,9140,99,179020,86905,8614,
2025,9,2025_09,180980,4877,375,186232,108894,9160,
2025,10,2025_10,190147,5183,347,195677,117616,6763,
2025,11,2025_11,184750,3644,608,189002,110470,6080,
2025,12,2025_12,182230,7838,146,190214,119355,7150,
2026,1,2026_1,145333,27596,92,173021,80921,6087,
2026,2,2026_2,154712,48256,347,203315,81880,7434,
2026,3,2026_3,167796,58084,149,226029,87432,9622,
2026,4,2026_4,189800,77692,41,267533,98349,7965,3197
